Barcode,Batch,Equipment,Ingested,Call Number,Title,Author,Imprint,BibId
30112123123629,LO_2021_03_11,,FALSE,PQ6140.P42 A34 2017,Affect and belonging in contemporary Spanish fiction and film : crossroads visions /,"Barker, Jesse,","[Cham, Switzerland] : Palgrave Macmillan, [2017]",99844046212205899
30112108444883,LO_2021_03_12,,FALSE,726.50945 L963l,"The Lateran Complex : Basilica, Apostolic Palace, Holy Staircase /","Luciani, Roberto.","Roma : Prospettive, c2011.",99699053012205899
30112025179422,LO_2021_03_12,,FALSE,865 P413K1973,Novelas y miscelánea ...,"Pérez Galdós, Benito,",[Madrid] Aguilar [1973],9924070612205899
30112025179430,LO_2021_03_12,,FALSE,865 P413K1973,Novelas y miscelánea ...,"Pérez Galdós, Benito,",[Madrid] Aguilar [1973],9924070612205899
30112051661400,LO_2021_03_12,,FALSE,465 P4152m,Manual práctico de la preposición española /,"Pérez Cino, Waldo.","Madrid : Editorial Verbum, c2000.",99434610012205899
30112077236195,LO_2021_03_12,,FALSE,189.3 Av5aYh,Avicenna's De anima in the Latin West : the formation of a peripatetic philosophy of the soul 1160-1300 /,"Hasse, Dag Nikolaus.","London : The Warburg Institute, 2000.",99437052312205899
30112001681615,LO_2021_03_12,,FALSE,641.8 L548B:E,The best of Gaston Lenôtre's desserts : glorious deserts from France's finest pastry maker /,"Lenôtre, Gaston.","Woodbury, N.Y. : Barron's, [1983]",9960618712205899
30112117501764,LO_2021_03_12,,FALSE,Q. S.782.42164909 W378ro,The roots of rap : 16 bars on the 4 pillars of hip-hop /,"Weatherford, Carole Boston,","New York, NY : Little Bee Books, [2019]",99888003412205899
30112121096074,LO_2021_03_12,,FALSE,GV1601 .K37H5 2018,History of dance /,"Kassing, Gayle.","Champaign, IL : Human Kinetics, [2018]",99841602212205899
30112106330191,LO_2021_03_12,,FALSE,305.896073 Ib7r,"The rhizome of Blackness : a critical ethnography of Hip-Hop culture, language, identity and the politics of becoming /","Ibrahim, Awad,","New York : Peter Lang, [2014]",99754506212205899
30112113568023,LO_2021_03_12,,FALSE,PS3568.O855 Z8345 2014,Philip Roth and World Literature : Transatlantic Perspectives and Uneasy Passages /,"Ivanova, Velichka,","Amherst, New York : Cambria Press, [2014]",99747274312205899
30112040463835,LO_2021_03_12,,FALSE,270.1092 An86r,The letters of St. Antony : monasticism and the making of a saint /,"Rubenson, Samuel.","Minneapolis : Fortress Press, 1995.",99378397612205899
30112104369662,DS_2021_03_12,,FALSE,362.6 D48C,"The care of the aged : proceedings of the Deutsch foundation conference, 1930 /",Deutsch Foundation Conference (1930 : University of Chicago),"Chicago, Ill. : The University of Chicago press, c1931.",99130242212205899
30112006746264,DS_2021_03_12,BC100,TRUE,362.6 W6763A,Aging and public policy : social control or social justice? /,"Williamson, John B.","Springfield, Ill., U.S.A. : CC Thomas, ©1985.",9981509612205899
30112117160710,DS_2021_03_12,,FALSE,DS923.23 .K58 2014,The Korean wave : Korean popular culture in global context /,"Kuwahara, Yasue.","New York, NY : Palgrave Macmillan, 2014.",99764717912205899
30112052400592,DS_2021_03_12,,FALSE,302 B325s2001,Selected writings /,"Baudrillard, Jean.","Stanford, Calif. : Stanford University Press, 2001.",99437923612205899
